Traces Entities
8
20
4
7
9
5
6
23
2
9
5
5
11
15
5
12
7
18
4
7
39
5
6
12
7
7
7
8
21
26
2
11
17
24
24
4
5
2
39
39
6
9
2
39
17
36
7
16
9
2
3
9
7
7
3
3
6
4
7
3
21
20
5
38
7
7
3
5
14
145
6
7
5
4
5
7
56
3
3
6
7
6
3
42
5
5
6
4
6
9
9
7
12
36
10
7
5
2
14
5
6
3
22
9
3
7
10
5
11
33
6
58
5
20
7
15
34
15
20
2
22
2
3
2
13
2
8
5
7
5
18
4
49
5
2
4
6
21
9
7
3
9
27
2
16
2
4
2
16
17
12
16
7
17
30
3
18
34
5
2
4
7
50
3
14
3
3
3
4
31
4
5
8
1
2
8
2
22
30
23
34
4
12
6
8
16
2
20
5
5
7
23
3
31
5
6
19
5
17
6
3
19
9
3
35
15
3
25
4
9
5
2
17
3
7
6
33
19
24
66
7
9
1
22
5
5
3
7
6
2
13
7
5
72
2
7
17
4
7
4
5
5
7
4
2
3
2
6
3
11
25
7
7
7
4
2
46
5
5
9
3
3
1
7
4
17
7
6
4
6
7
5
26
3
22
3
6
7
9
7
4
7
18
99
9
3
20
2
22
5
5
10
23
7
6
7
36
7
22
5
5
7
39
4
7
6
38
3
4
56
2
2
8
7
7
5
3
7
23
7
5
2
5
5
3
9
16
7
7
4
4
23
24
23
21
7
7
6
3
4
6
22
3
8
3
5
5
40
6
32
20
6
15
18
5
21
94
6
4
9
3
47
2
14
16
6
10
18
5
4
3
6
6
5
2
19
23
4
7
8
17
5
25
64
5
8
8
30
3
4
2
4
7
42
7
16
4
11
2
4
6
9
3
34
5
10
33
35
38
7
9
7
6
4
8
7
2
3
2
19
6
2
45
6
3
10
17
5
5
31
3
11
5
7
5
22
5
42
2
7
3
5
14
12
7
7
4
14
6
3
8
37
3
4
15
8
9
25
2
42
3
2
9
13
2
5
38
3
43
34
28
149
8
8
96
5
2
11
10
9
4
15
28
3
4
9
3
7
8
2
2
5
3
55
2
34
7
3
5
5
7
6
6
7
5
2
13
6
9
6
7
3
4
3
5
16
5
6
3
5
8
15
3
7
5
4
7
4
40
3
7
7
12
9
16
3
21
8
32
13
3
4
7
8
4
9
5
5
5
7
6
14
8
84
2
4
7
5
5
14
64
7
8
14
42
6
2
6
7
7
3
9
4
4
15
3
9
7
18
13
3
6
7
18
54
55
21
5
3
2
2
13
6
1
4
9
3
2
2
22
7
5
20
3
3
15
7
6
15
6
53
31
59
19
9
13
5
9
6
17
6
6
7
10
6
13
4
5
4
37
17
27
3
9
5
35
2
1
4
7
4
5
7
5
7
44
5
5
5
16
7
7
9
2
13
9
10
15
9
3
15
7
2
12
5
6
8
2
3
16
6
5
7
7
114
3
18
3
9
6
7
2
19
7
7
10
3
8
16
7
