Traces Calls
13
367
4
10
14
9
13
51
2
14
7
8
28
25
8
134
10
97
7
10
177
6
8
34
10
10
10
15
28
294
2
15
103
76
44
6
14
2
171
127
7
14
2
127
100
167
10
50
21
1
4
13
10
10
4
3
9
4
9
4
33
108
6
150
10
10
4
6
42
339
10
9
7
4
7
10
216
4
3
7
10
9
4
178
8
6
16
6
10
10
52
10
19
161
17
10
6
2
83
16
29
3
69
14
3
10
20
11
16
92
8
122
7
195
10
91
123
33
42
1
46
2
4
2
26
3
73
6
10
6
107
4
194
7
2
6
9
36
14
8
4
14
190
2
39
2
4
2
66
77
22
191
10
89
76
3
31
107
6
2
2
10
171
3
28
3
3
5
5
251
5
6
13
1
2
9
2
394
87
39
100
5
27
7
8
48
2
195
6
11
10
118
3
159
7
44
61
7
55
9
4
220
13
4
94
28
4
69
5
14
5
2
64
4
9
44
97
65
142
126
10
14
1
44
8
10
4
10
9
2
45
10
8
254
2
10
840
4
10
5
12
6
10
7
1
3
2
11
4
23
71
8
11
11
4
2
446
6
6
14
8
3
1
10
7
44
12
16
4
7
10
8
1022
3
137
4
28
10
14
49
3
10
43
291
14
2
46
2
57
6
5
15
66
10
6
10
191
10
52
7
8
10
133
4
10
8
97
3
9
280
1
3
8
10
10
7
3
10
55
10
6
2
12
7
3
58
28
10
10
5
5
59
53
57
53
8
9
7
3
6
9
41
3
8
4
6
6
139
7
130
65
19
62
50
6
39
268
13
3
14
3
260
2
75
68
7
71
62
9
5
4
22
13
17
2
103
48
7
10
35
52
6
51
254
18
19
8
662
3
2
2
8
11
200
11
47
4
21
2
9
11
28
3
79
8
14
97
165
204
10
14
10
9
9
8
10
2
4
2
503
11
2
301
7
3
20
32
7
10
90
3
25
6
10
13
48
15
184
2
8
4
13
32
71
10
10
5
44
7
3
13
157
4
4
83
8
14
137
2
58
3
2
12
35
2
8
171
3
146
86
150
313
13
13
318
6
2
40
15
12
5
23
73
4
2
14
4
11
8
2
2
10
4
111
2
71
8
4
12
6
10
9
8
7
7
2
80
8
22
7
9
2
4
4
5
53
8
7
3
5
8
28
4
10
7
4
10
9
151
4
10
10
22
15
61
3
35
10
166
19
3
3
10
8
5
14
10
5
5
8
19
23
9
241
2
5
25
6
10
42
179
8
7
46
346
7
2
14
10
10
4
14
4
8
101
3
14
8
28
25
4
16
8
68
214
113
39
5
4
2
2
56
9
1
8
14
3
2
2
62
10
6
30
3
4
92
10
6
37
9
109
123
209
36
15
24
8
14
7
34
7
7
10
73
10
20
6
10
4
116
42
179
3
14
8
492
2
1
11
10
5
7
10
7
10
256
6
7
6
56
8
8
22
2
23
11
13
42
46
4
62
7
2
57
8
7
57
2
3
67
20
6
10
11
299
3
34
4
14
16
11
2
200
10
10
28
7
10
46
27
70
56
4
11
101
52
175
13
2
1035
7
10
190
3
43
11
19
82
4
8
12
14
38
35
7
3
2
10
14
3
2
9
7
7
7
14
35
124
182
2
45
1
10
154
4
4
14
50
7
24
8
51
65
16
193
49
3
13
4
7
5
6
6
4
105
66
7
32
4
67
10
22
1
10
28
5
5
28
12
9
213
70
13
52
2
2
43
4
100
363
98
276
143
66
14
2
9
7
7
2
16
10
36
10
10
6
77
7
195
8
7
7
30
4
10
86
4
5
11
39
13
7
51
12
4
8
54
5
5
7
3
10
4
19
16
16
5
4
10
7
2
31
4
34
9
3
10
162
8
37
5
266
24
11
5
33
14
49
20
170
279
60
3
16
10
10
10
23
68
180
6
22
3
7
7
8
8
14
4
6
6
12
6
35
2
20
5
171
8
188
12
60
5
13
10
236
34
278
29
10
10
7
193
177
2
8
3
2
25
117
8
14
10
2
4
10
10
8
10
3
68
30
2
12
7
9
102
299
4
10
5
246
7
11
60
5
6
4
72
112
60
3
16
142
10
5
8
22
5
10
4
10
76
6
4
2
3
15
130
10
113
3
6
10
10
407
165
3
3
47
13
7
51
2
10
29
10
61
7
29
5
11
4
21
2
22
6
9
1
201
41
10
2
10
14
2
4
67
80
33
6
51
80
41
19
4
2
61
8
2
4
29
7
2
6
6
3
16
4
6
45
14
18
35
5
10
3
3
2
7
7
66
7
10
53
10
7
32
24
14
12
102
25
57
6
33
8
5
45
9
14
22
89
37
2
10
10
8
2
7
46
36
13
4
10
10
503
6
2
50
2
35
3
3
2
35
6
6
29
1
38
46
4
2
63
1
76
10
211
41
1
2
10
13
7
6
5
7
51
7
4
75
7
8
7
10
7
2
4
8
10
125
40
10
2
7
108
36
3
3
10
22
10
9
217
